Organism,C.Size(Mb),GC%,CDS
Trochodendron aralioides,0.165945,38.0174,91
Trollius chinensis,0.160191,38.0696,85
Tsuga chinensis,0.120859,38.065,73
Tupiella akineta UTEX 1912,0.195867,31.4892,105
Tydemania expeditionis FL1151,0.1052,32.8337,92
Typha latifolia,0.161572,36.606,86
Ulmus davidiana,0.159453,35.5472,78
Ulmus laciniata,0.158953,35.5659,77
Ulmus macrocarpa,0.159439,35.5628,79
Ulmus pumila,0.159082,35.5728,76
Ulnaria acus,0.116251,30.5658,130
Ulva fasciata,0.096005,24.8654,77
Ulva flexuosa,0.089414,24.9715,71
Ulva linza,0.086726,24.7873,67
Ulva prolifera,0.093066,24.7835,66
Undaria pinnatifida,0.130383,30.6144,139
Urochloa brizantha,0.138946,38.5905,83
Urochloa decumbens,0.138945,38.5915,83
Urochloa humidicola,0.138976,38.4951,83
Urochloa reptans,0.140177,38.5063,83
Urochloa ruziziensis,0.138765,38.6315,83
Utricularia gibba,0.152113,37.5747,87
Utricularia macrorhiza,0.153228,37.0396,77
Utricularia reniformis,0.139725,38.1514,76
Vanilla aphylla,0.150165,35.0221,64
Vanilla planifolia,0.148011,35.4041,75
Vaucheria litorea,0.115341,27.9467,139
Veratrum patulum,0.153699,37.7107,83
Verdigellas peltata,0.079444,27.7126,86
Vernicia fordii,0.161528,36.0235,85
Vertebrata australis,0.167318,28.2528,199
Vertebrata isogona,0.167445,28.3323,205
Vertebrata thuyoides,0.168951,28.5823,208
Viburnum utile,0.15762,38.1049,83
Vicia sativa,0.122467,35.1507,75
Victoria cruziana,0.158993,39.0608,85
Vigna angularis,0.151683,35.1859,81
Vigna radiata var. radiata,0.151271,35.2348,82
Vigna unguiculata,0.152415,35.2413,84
Viscum album,0.128921,36.389,71
Viscum coloratum,0.128744,36.2805,70
Viscum crassulae,0.126064,36.3664,73
Viscum minimum,0.131016,36.1818,71
Vitis acerifolia,0.161012,37.3978,86
Vitis aestivalis,0.160913,37.4041,86
Vitis amurensis,0.160953,37.3954,87
Vitis mustangensis,0.161008,37.3988,86
Vitis rotundifolia,0.160891,37.3638,84
Vitis vinifera,0.160928,37.3981,84
Vitis x champinii,0.161012,37.3891,86
Viviania marifolia,0.157291,37.6633,86
Watanabea reniformis,0.201425,41.2029,87
Welwitschia mirabilis,0.119726,36.7255,70
Westoniella kohkemperi,0.151824,37.3571,85
Whiteochloa capillipes,0.139177,38.6134,83
Wisteria floribunda,0.13096,34.3288,76
Wisteria sinensis,0.130561,34.3962,75
Wolffia australiana 7733,0.168704,35.8646,83
Wolffiella lingulata 7289,0.169337,35.841,83
Wollemia nobilis,0.14563,36.4904,82
Woodsia macrochlaena,0.150987,42.7348,88
Woodsia polystichoides,0.150685,42.6207,88
Woodwardia unigemmata,0.153717,43.2138,88
Xanthorrhoea preissii,0.158116,37.8621,86
Xerophyllum tenax,0.156746,37.8498,87
Xylochloris irregularis,0.181542,39.652,96
Yucca brevifolia,0.158008,37.7633,85
Yucca filamentosa,0.157785,37.7793,85
Yucca queretaroensis,0.157814,37.7565,85
Yucca schidigera,0.156158,37.8892,83
Yushania levigata,0.139633,38.897,83
Zamia furfuracea,0.164953,39.6931,87
Zantedeschia aethiopica,0.164488,36.8835,86
Zanthoxylum bungeanum,0.158401,38.4644,87
Zanthoxylum piperitum,0.158154,38.465,86
Zanthoxylum schinifolium,0.158963,38.3605,87
Zea mays,0.140384,38.4624,111
Zeugites pittieri,0.139738,38.6044,83
Zizania latifolia,0.136461,38.9958,83
Ziziphus jujuba,0.161466,36.7855,85
Zostera marina,0.143877,35.4567,78
Zygnema circumcarinatum,0.165372,31.0802,103
